INFORME RESULTADO BÚSQUEDA/"6/8/26 14:06"///////////////
CAMPOS BÚSQUEDA/Provincia: Granada///////////////
Nombre/Empresa/Organismo/Sit. General/Tipo/Frac/Nº Registro/Sustancia principal/Sustancia secundaria/Superf./Uds./Sec./Solicitud/"Otorgamiento/ Autorizacion"/Caducidad/Fin Vigencia/Coordenadas
PEPI FRACCIÓN 1 /OMYA CLARIANA, S.A. (ANTES CLARIANACAL, S.A.)/GRANADA/Otorgado/Concesión Directa de Explotación/01/30214/Calizas//33.0/C/C/"08/11/1989"/"28/01/1992"///(3º 22' 4.57'' W, 37º 20' 55.50'' N)(3º 22' 4.57'' W, 37º 21' 55.50'' N)(3º 20' 4.57'' W, 37º 21' 55.50'' N)(3º 20' 4.57'' W, 37º 22' 15.50'' N)(3º 19' 4.57'' W, 37º 22' 15.50'' N)(3º 19' 4.57'' W, 37º 22' 35.50'' N)(3º 18' 4.56'' W, 37º 22' 35.50'' N)(3º 18' 4.56'' W, 37º 21' 35.50'' N)(3º 19' 4.57'' W, 37º 21' 35.50'' N)(3º 19' 4.57'' W, 37º 21' 15.50'' N)(3º 21' 4.57'' W, 37º 21' 15.50'' N)(3º 21' 4.57'' W, 
PAMIAN/YESOS PAMIAN, S.L./GRANADA/Otorgado/Concesión Directa de Explotación/00/30251/Yeso//9.0/C/C/"09/04/1991"/"29/09/1993"///(4º 17' 4.68'' W, 37º 6' 35.46'' N)(4º 16' 44.68'' W, 37º 6' 35.46'' N)(4º 16' 44.68'' W, 37º 5' 55.46'' N)(4º 17' 4.68'' W, 37º 5' 55.46'' N)(4º 17' 4.68'' W, 37º 6' 35.46'' N)
VIRGEN DE GRACIA/YESOS LAS LAGUNAS, S.A./GRANADA/Otorgado/Concesión Directa de Explotación/00/30223/Yeso//4.0/C/C/"22/01/1990"/"01/06/1995"///(4º 16' 24.68'' W, 37º 6' 35.46'' N)(4º 15' 44.68'' W, 37º 6' 35.46'' N)(4º 15' 44.68'' W, 37º 5' 55.46'' N)(4º 16' 24.68'' W, 37º 5' 55.46'' N)(4º 16' 24.68'' W, 37º 6' 35.46'' N)
DIMARSA CUATRO (40058-AL)/MARMOL CREMA MARFIL, S.A./MURCIA/Caducado/Permiso de Investigación/00/21626/Calizas//270.0/C/C/"15/04/1987"/"03/09/1990"/"25/10/2016"//(2º 16' 24.53'' W, 37º 52' 55.54'' N)(2º 16' 24.53'' W, 37º 58' 55.55'' N)(2º 11' 24.52'' W, 37º 58' 55.56'' N)(2º 11' 24.52'' W, 37º 52' 55.54'' N)(2º 16' 24.53'' W, 37º 52' 55.54'' N)
LOMA FINA PRIMERA FRACCION/MARMOLES RAIMAR,S.L./MURCIA/1ª prórroga/Permiso de Investigación/01/21961/Roca ornamental //7.0/C/C/"06/05/1998"/"14/04/2000"///(2º 18' 24.53'' W, 38º 0' 15.55'' N)(2º 17' 4.53'' W, 38º 0' 15.55'' N)(2º 17' 4.53'' W, 37º 59' 55.55'' N)(2º 17' 24.53'' W, 37º 59' 55.55'' N)(2º 17' 24.53'' W, 37º 59' 35.55'' N)(2º 18' 24.53'' W, 37º 59' 35.55'' N)(2º 18' 24.53'' W, 38º 0' 15.55'' N)
LOMA FINA TERCERA FRACCION/MARMOLES RAIMAR,S.L./MURCIA/Caducado/Permiso de Investigación/30/21961/Roca ornamental //1.0/C/C/"06/05/1998"/"14/04/2000"/"17/02/2005"//(2º 18' 24.53'' W, 37º 59' 35.55'' N)(2º 18' 4.53'' W, 37º 59' 35.55'' N)(2º 18' 4.53'' W, 37º 59' 15.55'' N)(2º 18' 24.53'' W, 37º 59' 15.55'' N)(2º 18' 24.53'' W, 37º 59' 35.55'' N)
ALFA/BENICANTIL MARMOLES, S.A./MURCIA/Caducado/Permiso de Investigación/10/22037/Todos de sección C)//53.0/C/C/"29/12/1999"/"11/02/2002"/"06/07/2006"//(2º 22' 24.54'' W, 38º 1' 15.55'' N)(2º 21' 44.54'' W, 38º 1' 15.55'' N)(2º 21' 44.54'' W, 38º 1' 55.55'' N)(2º 20' 24.53'' W, 38º 1' 55.56'' N)(2º 20' 24.53'' W, 38º 1' 35.55'' N)(2º 19' 44.53'' W, 38º 1' 35.55'' N)(2º 19' 44.53'' W, 38º 1' 15.55'' N)(2º 19' 24.53'' W, 38º 1' 15.55'' N)(2º 19' 24.53'' W, 38º 0' 55.55'' N)(2º 19' 4.53'' W, 38º 0' 55.55'' N)(2º 19' 4.53'' W, 38º 0' 35.55'' N)(2º 18' 24.53'' W, 38º 0' 
EL ZEGRÍ/MÁRMOLES ANTONIO SAEZ, S.L./GRANADA/Caducado/Concesión Directa de Explotación/00/30273/Caliza marmórea//4.0/C/C/"02/03/1992"/"12/08/1994"/"07/08/2021"//(3º 36' 4.61'' W, 37º 25' 55.51'' N)(3º 35' 24.61'' W, 37º 25' 55.51'' N)(3º 35' 24.61'' W, 37º 25' 15.51'' N)(3º 36' 4.61'' W, 37º 25' 15.51'' N)(3º 36' 4.61'' W, 37º 25' 55.51'' N)
EL CERRILLO/MÁRMOLES EL TRANCO, S.L./GRANADA/Otorgado/Concesión de Explotación  Derivada/04/30203/Calizas, Dolomía//2.0/C/C/"15/10/1993"/"09/12/1994"///(2º 29' 24.48'' W, 37º 36' 55.52'' N)(2º 29' 4.48'' W, 37º 36' 55.52'' N)(2º 29' 4.48'' W, 37º 36' 15.52'' N)(2º 29' 24.48'' W, 37º 36' 15.52'' N)(2º 29' 24.48'' W, 37º 36' 55.52'' N)
COMPLEMENTO/ALBERTO FAJARDO ÁLVAREZ, ALICIA FAJARDO ÁLVAREZ, ANA MARÍA FAJARDO ÁLVAREZ, ROSENDA FAJARDO SÁNCHEZ, MARÍA SOLEDAD FAJARDO /GRANADA/Otorgado/Concesión Directa de Explotación/AA/28570/"Estroncio/celestina"//147.23/H/C/"08/10/1987"/"15/03/1989"///(3º 42' 4.61'' W, 37º 6' 35.47'' N)(3º 40' 44.61'' W, 37º 6' 35.47'' N)(3º 40' 44.61'' W, 37º 5' 55.47'' N)(3º 41' 4.61'' W, 37º 5' 55.47'' N)(3º 41' 4.61'' W, 37º 5' 35.47'' N)(3º 42' 4.61'' W, 37º 5' 35.47'' N)(3º 42' 4.61'' W, 37º 6' 35.47'' N)
CERRO MARÍN /PIEDRA VIVA, S.L./GRANADA/Otorgado/Concesión de Explotación  Derivada/01/30203/Calizas//4.0/C/C/"02/03/1993"/"22/08/1994"///(2º 28' 24.48'' W, 37º 36' 35.52'' N)(2º 27' 44.48'' W, 37º 36' 35.52'' N)(2º 27' 44.48'' W, 37º 35' 55.52'' N)(2º 28' 24.48'' W, 37º 35' 55.52'' N)(2º 28' 24.48'' W, 37º 36' 35.52'' N)
SAN JUAN/ÁRIDOS ATARFE, S.A./GRANADA/"Trámite/autorización"/Concesión Directa de Explotación/00/30260/Mármol//4.0/C/C/"27/09/1991"/"03/02/1993"///(3º 41' 44.62'' W, 37º 14' 35.48'' N)(3º 41' 44.62'' W, 37º 13' 55.48'' N)(3º 41' 4.61'' W, 37º 13' 55.48'' N)(3º 41' 4.62'' W, 37º 14' 35.48'' N)(3º 41' 44.62'' W, 37º 14' 35.48'' N)
AMBAR I/MÁRMOLES MAN, S.L. (ANTES EXTRACTOR AMBAR, S.L.)/GRANADA/Otorgado/Concesión de Explotación  Derivada/01/30198/Caliza marmórea//10.0/C/C/"08/05/1992"/"29/04/1996"///(2º 50' 44.51'' W, 37º 47' 55.51'' N)(2º 50' 44.51'' W, 37º 48' 15.51'' N)(2º 50' 4.51'' W, 37º 48' 15.51'' N)(2º 50' 4.51'' W, 37º 48' 35.51'' N)(2º 49' 44.51'' W, 37º 48' 35.51'' N)(2º 49' 44.51'' W, 37º 48' 55.51'' N)(2º 49' 24.51'' W, 37º 48' 55.51'' N)(2º 49' 24.51'' W, 37º 49' 15.51'' N)(2º 48' 44.51'' W, 37º 49' 15.51'' N)(2º 48' 44.51'' W, 37º 48' 35.51'' N)(2º 49' 24.51'' W, 37º 48' 35.51'' N)(2º 49' 
ESPINAR/ÁRIDOS DESMONTES Y PERFORACIONES, S.A. (ADEPESA)/GRANADA/Autorizado/Recurso de la sección A)/00/   51/Arena, Grava//3.15/H/A/"22/03/1991"/"07/02/1994"///(4º 10' 56.51'' W, 36º 59' 18.19'' N)(4º 11' 4.85'' W, 36º 59' 15.55'' N)(4º 11' 18.16'' W, 36º 59' 15.41'' N)(4º 11' 23.39'' W, 36º 59' 29.51'' N)(4º 11' 16.74'' W, 36º 59' 28.54'' N)(4º 11' 14.18'' W, 36º 59' 19.86'' N)(4º 11' 5.87'' W, 36º 59' 15.89'' N)(4º 10' 57.44'' W, 36º 59' 20.03'' N)(4º 10' 56.51'' W, 36º 59' 18.19'' N)
SAN ILDEFONSO I /GRUPO CANTERAS DAMAS, S.L., MÁRMOLES MARCA, S.A./GRANADA/Caducado/Concesión de Explotación  Derivada/07/30203/Caliza marmórea//2.0/C/C/"24/05/1995"/"11/04/1997"/"15/12/2020"//(2º 29' 4.48'' W, 37º 36' 55.52'' N)(2º 28' 44.48'' W, 37º 36' 55.52'' N)(2º 28' 44.48'' W, 37º 36' 15.52'' N)(2º 29' 4.48'' W, 37º 36' 15.52'' N)(2º 29' 4.48'' W, 37º 36' 55.52'' N)
SAN COSME/LUIS MIGUEL SEGURA SÁNCHEZ, MARÍA JOSÉ SÁNCHEZ DOMARCO, FRANCISCO JOSÉ SEGURA SÁNCHEZ, MARÍA ELIA SÁNCHEZ DOMARCO, MARÍA LUISA /GRANADA/Autorizado/Recurso de la sección A)/00/  111///5.0/H/A/"15/11/1995"/"06/04/1998"///(2º 16' 9.54'' W, 37º 53' 55.54'' N)(2º 16' 1.98'' W, 37º 53' 57.63'' N)(2º 15' 55.88'' W, 37º 53' 53.41'' N)(2º 15' 58.19'' W, 37º 53' 47.23'' N)(2º 16' 9.54'' W, 37º 53' 55.54'' N)
SAN ILDEFONSO II /CANTERAS EL PLANO, S.L./GRANADA/Otorgado/Concesión de Explotación  Derivada/72/30203/Caliza marmórea//2.0/C/C/"24/05/1995"/"11/04/1997"///(2º 28' 44.48'' W, 37º 36' 55.52'' N)(2º 28' 24.48'' W, 37º 36' 55.52'' N)(2º 28' 24.48'' W, 37º 36' 15.52'' N)(2º 28' 44.48'' W, 37º 36' 15.52'' N)(2º 28' 44.48'' W, 37º 36' 55.52'' N)
TORILES/FRANCISCO MOLINA SÁNCHEZ/GRANADA/Autorizado/Recurso de la sección A)/00/   91/Arena//9.1/H/A/"07/03/1994"/"27/12/1994"///(3º 25' 44.24'' W, 37º 15' 49.50'' N)(3º 25' 42.29'' W, 37º 15' 56.09'' N)(3º 25' 37.79'' W, 37º 15' 58.19'' N)(3º 25' 29.65'' W, 37º 15' 53.28'' N)(3º 25' 29.13'' W, 37º 15' 47.77'' N)(3º 25' 32.57'' W, 37º 15' 45.52'' N)(3º 25' 44.24'' W, 37º 15' 49.50'' N)
