INFORME RESULTADO BÚSQUEDA/"6/8/26 14:06"///////////////
CAMPOS BÚSQUEDA/Provincia: Sevilla///////////////
Nombre/Empresa/Organismo/Sit. General/Tipo/Frac/Nº Registro/Sustancia principal/Sustancia secundaria/Superf./Uds./Sec./Solicitud/"Otorgamiento/ Autorizacion"/Caducidad/Fin Vigencia/Coordenadas
SIDEMOSA I/IGNACIO J. SILES GONZÁLEZ/SEVILLA/Caducado/Permiso de Investigación/00/ 7707/Calizas//22.0/C/C/"03/06/1997"/"17/10/2002"/"17/02/2011"//(4º 50' 44.74'' W, 37º 17' 55.46'' N)(4º 48' 44.74'' W, 37º 17' 55.46'' N)(4º 48' 44.74'' W, 37º 15' 35.46'' N)(4º 49' 4.74'' W, 37º 15' 35.46'' N)(4º 49' 4.74'' W, 37º 16' 55.46'' N)(4º 50' 44.74'' W, 37º 16' 55.46'' N)(4º 50' 44.74'' W, 37º 17' 55.46'' N)
ÁRIDOS EL PUENTE/CONSTRUCCIONES MAYGAR S.L./SEVILLA/Autorizado/Recurso de la sección A)/00/  165/Arena, Grava//7.4/H/A/"15/06/1990"/"11/06/1991"///(4º 40' 19.31'' W, 37º 18' 35.58'' N)(4º 40' 19.12'' W, 37º 18' 26.75'' N)(4º 40' 30.16'' W, 37º 18' 26.60'' N)(4º 40' 30.36'' W, 37º 18' 35.42'' N)(4º 40' 19.31'' W, 37º 18' 35.58'' N)
CARRAMOLAR/HERMANOS VELÁZQUEZ ,B. S.A./SEVILLA/"Trámite/decl-recurso"/Recurso de la sección A)/00/  156/Zahorra//0.01/H/A/"30/11/1990"////(5º 57' 36.62'' W, 37º 31' 35.63'' N)(5º 57' 36.61'' W, 37º 31' 35.31'' N)(5º 57' 37.01'' W, 37º 31' 35.30'' N)(5º 57' 37.03'' W, 37º 31' 35.62'' N)(5º 57' 36.62'' W, 37º 31' 35.63'' N)
LOS MORALES/MANUEL SANTIAGO GÓMEZ/SEVILLA/"Trámite/decl-recurso"/Recurso de la sección A)/00/  159/Arena//0.0/H/A/////(5º 17' 44.77'' W, 37º 9' 35.46'' N)(5º 17' 44.57'' W, 37º 9' 35.62'' N)(5º 17' 44.56'' W, 37º 9' 35.30'' N)(5º 17' 44.96'' W, 37º 9' 35.29'' N)(5º 17' 44.97'' W, 37º 9' 35.62'' N)(5º 17' 44.57'' W, 37º 9' 35.62'' N)
CORTIJO NUEVO/PREBETONG ÁRIDOS S.L., HORMIGONES HÉRCULES, S.L./SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 7709/Arena, Calizas, Conglomerado, Grava//2.0/C/C/"18/06/1997"/"01/08/2005"///(5º 56' 24.82'' W, 37º 27' 55.47'' N)(5º 56' 24.82'' W, 37º 27' 35.47'' N)(5º 57' 4.82'' W, 37º 27' 35.47'' N)(5º 57' 4.82'' W, 37º 27' 55.47'' N)(5º 56' 24.82'' W, 37º 27' 55.47'' N)
VOLUNTARIO/SAINT-GOBAIN PLACO IBÉRICA, S.A.U. (ANTES IBERYESO/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 7711/Yeso//1.0/C/C/"30/10/1997"/"17/02/2004"///(5º 15' 44.77'' W, 37º 1' 35.45'' N)(5º 15' 24.77'' W, 37º 1' 35.45'' N)(5º 15' 24.77'' W, 37º 1' 15.45'' N)(5º 15' 44.77'' W, 37º 1' 15.45'' N)(5º 15' 44.77'' W, 37º 1' 35.45'' N)
SAN JUAN/ANDALUZA DE CALES, S.A./SEVILLA/"Trámite/autorización"/Permiso de Investigación/00/ 7712/Calizas//13.0/C/C/"25/07/1997"/"09/01/2003"///(5º 21' 4.10'' W, 37º 1' 56.08'' N)(5º 19' 24.78'' W, 37º 1' 55.45'' N)(5º 19' 24.78'' W, 37º 1' 15.45'' N)(5º 20' 4.78'' W, 37º 1' 15.45'' N)(5º 20' 4.78'' W, 37º 0' 55.45'' N)(5º 21' 4.78'' W, 37º 0' 55.45'' N)(5º 21' 4.10'' W, 37º 1' 56.08'' N)
SAN FERNANDO/ÁRIDOS Y REFORESTACIÓN S.A. (ANTES CANTERA SÁNCHEZ/SEVILLA/Otorgado/Concesión Directa de Explotación/00/ 7714/Arena//11.0/C/C/"14/08/1997"/"08/08/2007"///(5º 54' 4.81'' W, 37º 27' 35.47'' N)(5º 54' 4.81'' W, 37º 27' 55.47'' N)(5º 53' 4.81'' W, 37º 27' 55.47'' N)(5º 53' 4.81'' W, 37º 26' 55.47'' N)(5º 54' 24.81'' W, 37º 26' 55.47'' N)(5º 54' 24.81'' W, 37º 27' 35.47'' N)(5º 54' 4.81'' W, 37º 27' 35.47'' N)
ANDÉVALO/ATALAYA OSSA MORENA, S.L./SEVILLA/Otorgado/Permiso de Investigación/00/ 7716/Todos de sección C)//176.0/C/C/"26/08/1997"/"25/02/2003"///(6º 6' 44.83'' W, 37º 58' 35.50'' N)(6º 3' 4.83'' W, 37º 58' 35.50'' N)(6º 3' 4.83'' W, 37º 53' 15.50'' N)(6º 6' 44.83'' W, 37º 53' 15.49'' N)(6º 6' 44.83'' W, 37º 58' 35.50'' N)
SIERRA DE BECERREROS/ANDALUZA DE CALES, S.A./SEVILLA/"Trámite/autorización"/Permiso de Investigación/01/ 7715/Calizas//21.0/C/C/"27/08/1997"/"11/12/2002"///(4º 52' 44.74'' W, 37º 16' 15.46'' N)(4º 54' 44.75'' W, 37º 16' 15.46'' N)(4º 54' 44.75'' W, 37º 17' 35.46'' N)(4º 53' 44.75'' W, 37º 17' 35.46'' N)(4º 53' 44.75'' W, 37º 17' 15.46'' N)(4º 52' 44.74'' W, 37º 17' 15.46'' N)(4º 52' 44.74'' W, 37º 16' 15.46'' N)
SIERRA DE BECERREROS/ANDALUZA DE CALES, S.A./SEVILLA/"Trámite/autorización"/Permiso de Investigación/02/ 7715/Calizas//9.0/C/C/"27/08/1997"/"31/01/2003"///(4º 51' 4.74'' W, 37º 19' 15.46'' N)(4º 50' 4.74'' W, 37º 19' 15.46'' N)(4º 50' 4.74'' W, 37º 18' 15.46'' N)(4º 51' 4.74'' W, 37º 18' 15.46'' N)(4º 51' 4.74'' W, 37º 19' 15.46'' N)
SIERRA DE BECERREROS/ANDALUZA DE CALES, S.A./SEVILLA/"Trámite/autorización"/Permiso de Investigación/03/ 7715/Calizas//7.0/C/C/"27/08/1997"/"25/02/2003"///(4º 48' 24.74'' W, 37º 16' 35.46'' N)(4º 47' 44.74'' W, 37º 16' 35.46'' N)(4º 47' 44.74'' W, 37º 14' 55.46'' N)(4º 48' 4.74'' W, 37º 14' 55.46'' N)(4º 48' 4.74'' W, 37º 15' 55.46'' N)(4º 48' 24.74'' W, 37º 15' 55.46'' N)(4º 48' 24.74'' W, 37º 16' 35.46'' N)
